index	famille	joueur	unite	ombre
01	01 Ecole de la Rue	Malandro	units/01_Ecole_de_la_Rue/01_Malandro_unit_alpha.png	shadows/01_Ecole_de_la_Rue/01_Malandro_shadow_alpha.png
02	01 Ecole de la Rue	Brahim	units/01_Ecole_de_la_Rue/02_Brahim_unit_alpha.png	shadows/01_Ecole_de_la_Rue/02_Brahim_shadow_alpha.png
03	01 Ecole de la Rue	Rodrigo	units/01_Ecole_de_la_Rue/03_Rodrigo_unit_alpha.png	shadows/01_Ecole_de_la_Rue/03_Rodrigo_shadow_alpha.png
04	01 Ecole de la Rue	Denilson	units/01_Ecole_de_la_Rue/04_Denilson_unit_alpha.png	shadows/01_Ecole_de_la_Rue/04_Denilson_shadow_alpha.png
05	01 Ecole de la Rue	Rafinha	units/01_Ecole_de_la_Rue/05_Rafinha_unit_alpha.png	shadows/01_Ecole_de_la_Rue/05_Rafinha_shadow_alpha.png
06	01 Ecole de la Rue	Tiago	units/01_Ecole_de_la_Rue/06_Tiago_unit_alpha.png	shadows/01_Ecole_de_la_Rue/06_Tiago_shadow_alpha.png
07	01 Ecole de la Rue	Nino	units/01_Ecole_de_la_Rue/07_Nino_unit_alpha.png	shadows/01_Ecole_de_la_Rue/07_Nino_shadow_alpha.png
08	01 Ecole de la Rue	Caio	units/01_Ecole_de_la_Rue/08_Caio_unit_alpha.png	shadows/01_Ecole_de_la_Rue/08_Caio_shadow_alpha.png
09	01 Ecole de la Rue	Jairzao	units/01_Ecole_de_la_Rue/09_Jairzao_unit_alpha.png	shadows/01_Ecole_de_la_Rue/09_Jairzao_shadow_alpha.png
10	01 Ecole de la Rue	Didico	units/01_Ecole_de_la_Rue/10_Didico_unit_alpha.png	shadows/01_Ecole_de_la_Rue/10_Didico_shadow_alpha.png
11	02 Catenaccio	Mattia	units/02_Catenaccio/01_Mattia_unit_alpha.png	shadows/02_Catenaccio/01_Mattia_shadow_alpha.png
12	02 Catenaccio	Gianluca	units/02_Catenaccio/02_Gianluca_unit_alpha.png	shadows/02_Catenaccio/02_Gianluca_shadow_alpha.png
13	02 Catenaccio	Dino	units/02_Catenaccio/03_Dino_unit_alpha.png	shadows/02_Catenaccio/03_Dino_shadow_alpha.png
14	02 Catenaccio	Vito	units/02_Catenaccio/04_Vito_unit_alpha.png	shadows/02_Catenaccio/04_Vito_shadow_alpha.png
15	02 Catenaccio	Tommaso	units/02_Catenaccio/05_Tommaso_unit_alpha.png	shadows/02_Catenaccio/05_Tommaso_shadow_alpha.png
16	02 Catenaccio	Federico	units/02_Catenaccio/06_Federico_unit_alpha.png	shadows/02_Catenaccio/06_Federico_shadow_alpha.png
17	02 Catenaccio	Aurelio	units/02_Catenaccio/07_Aurelio_unit_alpha.png	shadows/02_Catenaccio/07_Aurelio_shadow_alpha.png
18	02 Catenaccio	Salvatore	units/02_Catenaccio/08_Salvatore_unit_alpha.png	shadows/02_Catenaccio/08_Salvatore_shadow_alpha.png
19	03 Tiki Taka	Unai	units/03_Tiki_Taka/01_Unai_unit_alpha.png	shadows/03_Tiki_Taka/01_Unai_shadow_alpha.png
20	03 Tiki Taka	Andoni	units/03_Tiki_Taka/02_Andoni_unit_alpha.png	shadows/03_Tiki_Taka/02_Andoni_shadow_alpha.png
21	03 Tiki Taka	Xabi	units/03_Tiki_Taka/03_Xabi_unit_alpha.png	shadows/03_Tiki_Taka/03_Xabi_shadow_alpha.png
22	03 Tiki Taka	Ruben	units/03_Tiki_Taka/04_Ruben_unit_alpha.png	shadows/03_Tiki_Taka/04_Ruben_shadow_alpha.png
23	03 Tiki Taka	Inaki	units/03_Tiki_Taka/05_Inaki_unit_alpha.png	shadows/03_Tiki_Taka/05_Inaki_shadow_alpha.png
24	03 Tiki Taka	Aitor	units/03_Tiki_Taka/06_Aitor_unit_alpha.png	shadows/03_Tiki_Taka/06_Aitor_shadow_alpha.png
25	03 Tiki Taka	Don Alvaro	units/03_Tiki_Taka/07_Don_Alvaro_unit_alpha.png	shadows/03_Tiki_Taka/07_Don_Alvaro_shadow_alpha.png
26	04 Kick and Rush	Jonah	units/04_Kick_and_Rush/01_Jonah_unit_alpha.png	shadows/04_Kick_and_Rush/01_Jonah_shadow_alpha.png
27	04 Kick and Rush	Billy	units/04_Kick_and_Rush/02_Billy_unit_alpha.png	shadows/04_Kick_and_Rush/02_Billy_shadow_alpha.png
28	04 Kick and Rush	Callum	units/04_Kick_and_Rush/03_Callum_unit_alpha.png	shadows/04_Kick_and_Rush/03_Callum_shadow_alpha.png
29	04 Kick and Rush	Jamie	units/04_Kick_and_Rush/04_Jamie_unit_alpha.png	shadows/04_Kick_and_Rush/04_Jamie_shadow_alpha.png
30	04 Kick and Rush	Joe	units/04_Kick_and_Rush/05_Joe_unit_alpha.png	shadows/04_Kick_and_Rush/05_Joe_shadow_alpha.png
31	04 Kick and Rush	Duncan	units/04_Kick_and_Rush/06_Duncan_unit_alpha.png	shadows/04_Kick_and_Rush/06_Duncan_shadow_alpha.png
32	05 Football Total	Luuk	units/05_Football_Total/01_Luuk_unit_alpha.png	shadows/05_Football_Total/01_Luuk_shadow_alpha.png
33	05 Football Total	Pieter	units/05_Football_Total/02_Pieter_unit_alpha.png	shadows/05_Football_Total/02_Pieter_shadow_alpha.png
34	05 Football Total	Kees	units/05_Football_Total/03_Kees_unit_alpha.png	shadows/05_Football_Total/03_Kees_shadow_alpha.png
35	05 Football Total	Joost	units/05_Football_Total/04_Joost_unit_alpha.png	shadows/05_Football_Total/04_Joost_shadow_alpha.png
36	05 Football Total	Bram	units/05_Football_Total/05_Bram_unit_alpha.png	shadows/05_Football_Total/05_Bram_shadow_alpha.png
37	05 Football Total	Jasper	units/05_Football_Total/06_Jasper_unit_alpha.png	shadows/05_Football_Total/06_Jasper_shadow_alpha.png
